"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"PS","BITS:bc","Data Label","Global","Imported","0","0"
"PT2","BITS:bd","Data Label","Global","Imported","0","0"
"PC","BITS:be","Data Label","Global","Imported","0","0"
"IP.7","BITS:bf","Data Label","Global","Imported","0","0"
"FIFLG.0","BITS:c0","Data Label","Global","Imported","0","0"
"FIFLG.1","BITS:c1","Data Label","Global","Imported","0","0"
"FIFLG.2","BITS:c2","Data Label","Global","Imported","0","0"
"FIFLG.3","BITS:c3","Data Label","Global","Imported","0","0"
"FIFLG.4","BITS:c4","Data Label","Global","Imported","0","0"
"FIFLG.5","BITS:c5","Data Label","Global","Imported","0","0"
"FIFLG.6","BITS:c6","Data Label","Global","Imported","0","0"
"FIFLG.7","BITS:c7","Data Label","Global","Imported","0","0"
"CPRL2","BITS:c8","Data Label","Global","Imported","0","0"
"CT2","BITS:c9","Data Label","Global","Imported","0","0"
"TR2","BITS:ca","Data Label","Global","Imported","0","0"
"EXEN2","BITS:cb","Data Label","Global","Imported","0","0"
"TCLK","BITS:cc","Data Label","Global","Imported","0","0"
"RCLK","BITS:cd","Data Label","Global","Imported","0","0"
"EXF2","BITS:ce","Data Label","Global","Imported","0","0"
"TF2","BITS:cf","Data Label","Global","Imported","0","0"
"P","BITS:d0","Data Label","Global","Imported","0","0"
"UD","BITS:d1","Data Label","Global","Imported","0","0"
"OV","BITS:d2","Data Label","Global","Imported","1","0"
"RS0","BITS:d3","Data Label","Global","Imported","0","0"
"RS1","BITS:d4","Data Label","Global","Imported","0","0"
"F0","BITS:d5","Data Label","Global","Imported","0","0"
"AC","BITS:d6","Data Label","Global","Imported","0","0"
"C","BITS:d7","Data Label","Global","Imported","0","0"
"CCF.0","BITS:d8","Data Label","Global","Imported","0","0"
"CCF.1","BITS:d9","Data Label","Global","Imported","0","0"
"CCF.2","BITS:da","Data Label","Global","Imported","0","0"
"CCF.3","BITS:db","Data Label","Global","Imported","0","0"
"CCF.4","BITS:dc","Data Label","Global","Imported","0","0"
"CCON.5","BITS:dd","Data Label","Global","Imported","0","0"
"CR","BITS:de","Data Label","Global","Imported","0","0"
"CF","BITS:df","Data Label","Global","Imported","0","0"
"ACC.0","BITS:e0","Data Label","Global","Imported","113","0"
"ACC.1","BITS:e1","Data Label","Global","Imported","86","0"
"ACC.2","BITS:e2","Data Label","Global","Imported","39","0"
"ACC.3","BITS:e3","Data Label","Global","Imported","26","0"
"ACC.4","BITS:e4","Data Label","Global","Imported","19","0"
"ACC.5","BITS:e5","Data Label","Global","Imported","19","0"
"ACC.6","BITS:e6","Data Label","Global","Imported","17","0"
"ACC.7","BITS:e7","Data Label","Global","Imported","36","0"
"HIFLG.0","BITS:e8","Data Label","Global","Imported","0","0"
"HIFLG.1","BITS:e9","Data Label","Global","Imported","0","0"
"HIFLG.2","BITS:ea","Data Label","Global","Imported","0","0"
